id,lastName,rating,gender,birthDate,city
1,Мишкин,217,1,2002-08-23,Кунгур
2,Бортич,224,0,2002-06-03,Лысьва
3,Деревянко,182,0,2002-02-20,Оса
4,Столбова,194,0,2003-01-22,Кунгур
5,Хомич,205,0,2002-04-23,Кунгур
6,Круглов,191,1,2002-04-23,Березники
7,Иванов,192,1,2002-05-17,Кунгур
8,Петров,191,1,2002-11-25,Кунгур
9,Сидоров,196,1,2004-01-20,Кунгур
10,Капустин,196,1,2002-06-04,Кунгур
11,Томатова,201,0,2003-04-16,Кунгур
12,Ежова,214,0,2001-10-07,Лысьва
13,Микова,222,0,2001-10-07,Пермь
14,Мамин,199,1,2001-11-10,Пермь
15,Комов,195,1,2002-01-17,Пермь
16,Миков,199,1,2002-01-17,Пермь
