IdStudent;NameStudent;Sex;BallMath;BallLang;BallInf;IdDirect  
1;Иванов;м;60;70;80;1
2;Петров;м;60;62;60;2
3;Яценко;ж;70;77;70;3
4;Бойко;ж;60;64;62;2
5;Миков;м;60;70;88;1
6;Мищенко;ж;60;52;60;3
7;Ямбург;ж;70;77;75;3
8;Абросов;м;56;62;62;2
9;Кикова;ж;66;75;80;1
10;Кикабидзе;ж;54;62;60;1
11;Луканин;м;70;75;90;3
12;Жданов;м;68;66;62;2
13;Маков;м;60;70;50;1
14;Сынбаева;ж;60;52;50;2
15;Занозкина;ж;70;57;70;3
16;Машина;ж;60;54;62;2
17;Градский;м;62;57;70;1
18;Петровский;м;60;62;66;2
19;Берг;ж;74;77;74;3
20;Крамола;ж;66;66;62;2
21;Иванова;ж;60;70;86;1
22;Петрова;ж;70;62;90;2
23;Ященко;м;80;78;73;3
24;Бойков;м;65;64;68;2
25;Микова;ж;60;55;88;1
26;Мищенко;м;60;58;64;3
27;Ямбург;м;80;77;75;3
28;Абросова;ж;76;62;62;2
29;Киков;м;66;75;84;1
30;Кикабидзе;м;84;62;60;1
31;Луканина;ж;72;75;92;3
32;Жданова;ж;61;86;67;2
33;Макова;ж;64;77;70;1
34;Сынбаев;м;67;62;62;2
35;Занозкин;м;70;57;70;3
36;Мишкин;м;60;74;62;2
37;Градская;ж;60;60;80;1
38;Петровская;ж;60;62;78;2
39;Берг;м;80;73;70;3
40;Крамолов;м;60;64;62;2
51;Панина;ж;60;70;78;1
52;Пушкина;ж;66;62;61;2
53;Лермонов;м;70;72;75;3
54;Сахаров;м;67;64;63;2
55;Ахматова;ж;60;70;68;1
56;Есенин;м;65;58;61;3
57;Маяковский;м;68;74;75;3
58;Пахмутова;ж;56;67;63;2
59;Булгаков;м;65;70;72;1
60;Достоевский;м;57;62;60;3
